,Date (MM/DD/YYYY),Time (HH:mm:ss),Chlorophyll RFU,Cond µS/cm,Depth m,nLF Cond µS/cm,ODO % sat,ODO % CB,ODO mg/L,Pressure psi a,Sal psu,SpCond µS/cm,TAL PC RFU,TDS mg/L,Turbidity FNU,TSS mg/L,pH,pH mV,Temp °C,Vertical Position m,Latitude,Longitude
0,3/15/2024,13:56:34,-0.05,54248.9,4.559,54226.8,100.6,100.3,6.78,6.64,35.86,54228.9,-0.26,35249,0.63,0,8.35,-79.7,25.019,4.504,25.90027883137813,-80.12338812345136
1,3/15/2024,13:56:39,-0.04,54266.1,4.593,54239.5,100.6,100.3,6.78,6.689,35.87,54241.9,-0.26,35257,0.66,0,8.35,-79.8,25.023,4.642,25.90029567955587,-80.12339735556415
2,3/15/2024,13:56:44,-0.06,54290.1,4.629,54255.9,100.7,100.3,6.78,6.741,35.89,54259.1,-0.23,35268,1.02,0,8.35,-79.8,25.03,4.662,25.9003091390062,-80.12340499593266
3,3/15/2024,13:56:49,-0.09,54304.0,4.645,54265.6,100.7,100.3,6.78,6.764,35.89,54269.2,-0.25,35275,1.73,0,8.35,-79.9,25.034,4.733,25.900319209729105,-80.12341104455685
4,3/15/2024,13:56:54,-0.11,54316.7,4.66,54276.1,100.7,100.3,6.78,6.787,35.9,54279.9,-0.28,35282,1.62,0,8.35,-79.9,25.036,4.84,25.90032589172461,-80.12341550143677
5,3/15/2024,13:56:59,-0.13,54324.8,4.637,54284.9,100.7,100.3,6.78,6.753,35.91,54288.6,-0.3,35288,0.91,0,8.35,-80.0,25.035,4.436,25.900329184992696,-80.12341836657241
6,3/15/2024,13:57:04,-0.12,54316.3,4.586,54279.7,100.7,100.3,6.78,6.679,35.9,54283.1,-0.31,35284,0.45,0,8.35,-80.0,25.032,4.108,25.90032908953337,-80.12341963996377
7,3/15/2024,13:57:09,-0.11,54293.0,3.615,54261.0,100.7,100.3,6.78,5.265,35.89,54264.0,-0.33,35272,0.4,0,8.36,-80.0,25.028,3.62,25.90032560534662,-80.12341932161083
8,3/15/2024,13:57:14,-0.12,54288.8,3.646,54257.8,100.8,100.4,6.79,5.309,35.89,54260.7,-0.32,35269,0.41,0,8.36,-80.0,25.027,3.664,25.900318732432464,-80.1234174115136
9,3/15/2024,13:57:19,-0.12,54315.7,3.648,54280.5,100.8,100.4,6.79,5.314,35.9,54283.8,-0.32,35284,0.41,0,8.36,-80.1,25.031,3.59,25.90030847079089,-80.12341390967208
10,3/15/2024,13:57:24,-0.1,54330.4,3.614,54292.8,100.8,100.4,6.79,5.263,35.91,54296.3,-0.32,35293,0.4,0,8.36,-80.1,25.033,3.443,25.900294820421898,-80.12340881608628
11,3/15/2024,13:57:29,-0.1,54322.8,3.554,54286.7,100.9,100.5,6.79,5.176,35.91,54290.1,-0.31,35289,0.4,0,8.36,-80.2,25.032,3.307,25.90027859271104,-80.12340244910524
12,3/15/2024,13:57:34,-0.12,54311.4,3.497,54277.2,100.9,100.5,6.79,5.093,35.9,54280.4,-0.33,35282,0.41,0,8.36,-80.2,25.03,3.126,25.900264655971565,-80.12339671882327
13,3/15/2024,13:57:39,-0.12,54269.7,3.413,54243.9,100.9,100.5,6.8,4.97,35.88,54246.3,-0.33,35260,0.46,0,8.36,-80.1,25.023,2.844,25.900253821589025,-80.12339194358945
14,3/15/2024,13:57:44,-0.11,54161.2,1.954,54150.9,100.9,100.5,6.8,2.845,35.81,54151.9,-0.34,35199,0.46,0,8.36,-80.1,25.009,1.699,25.900246089563407,-80.12338812340373
15,3/15/2024,13:57:49,-0.11,54011.1,1.51,53995.6,101.1,100.7,6.81,2.2,35.69,53997.0,-0.34,35098,0.58,0,8.35,-79.9,25.014,1.276,25.900241459894726,-80.12338525826615
16,3/15/2024,13:57:54,-0.1,53918.5,1.422,53893.8,101.1,100.7,6.82,2.07,35.62,53896.1,-0.34,35032,0.59,0,8.35,-79.8,25.022,1.324,25.900239932582966,-80.1233833481767
17,3/15/2024,13:57:59,-0.1,53891.1,1.355,53856.2,101.2,100.8,6.83,1.973,35.59,53859.5,-0.34,35009,0.71,0,8.35,-79.7,25.031,1.186,25.90024150762814,-80.12338239313537
18,3/15/2024,13:58:04,-0.09,53882.0,1.306,53837.7,101.2,100.8,6.82,1.901,35.58,53841.8,-0.33,34997,0.72,0,8.35,-79.5,25.04,1.091,25.90024618503024,-80.12338239314218
19,3/15/2024,13:58:09,-0.09,53863.6,0.445,53782.1,101.1,100.7,6.82,0.648,35.54,53789.7,-0.32,34963,0.78,0,8.34,-79.4,25.072,0.451,25.90025396478928,-80.12338334819712
20,3/15/2024,13:58:14,-0.1,53849.5,0.391,53750.4,100.9,100.5,6.8,0.57,35.51,53759.6,-0.31,34944,0.77,0,8.34,-79.3,25.088,0.379,25.900264846905237,-80.12338525830017
21,3/15/2024,13:58:19,-0.12,53840.9,0.319,53734.8,100.8,100.4,6.8,0.464,35.5,53744.8,-0.32,34934,0.83,0,8.34,-79.2,25.094,0.198,25.90027883137813,-80.12338812345136
